word	prior
shaft	0.996766
adore	0.996604
dimly	0.996593
mecca	0.996593
tutor	0.996549
pence	0.996528
shove	0.996473
tango	0.996406
fatty	0.996395
facet	0.996362
racer	0.996362
puree	0.99634
sniff	0.99625
combo	0.996227
homey	0.996216
cubic	0.996193
lunar	0.996148
suede	0.996068
width	0.996068
spiky	0.996045
soggy	0.995964
aloof	0.99593
wrest	0.995918
quirk	0.995883
crank	0.995813
budge	0.995707
feral	0.995695
dwarf	0.995683
leash	0.995599
chile	0.995587
waltz	0.995527
dryly	0.995527
gaudy	0.995515
slyly	0.995515
plank	0.995467
ridge	0.995442
puffy	0.995418
swine	0.995369
pluck	0.995369
lanky	0.995357
juror	0.995308
incur	0.995184
flora	0.995171
pupil	0.995159
jaded	0.995159
cider	0.995134
teddy	0.995033
scrum	0.994983
titan	0.994829
lowly	0.994778
burnt	0.994765
furry	0.994765
prank	0.994739
nerdy	0.994713
creek	0.994687
spoof	0.994648
gamut	0.994622
dizzy	0.994622
bagel	0.994596
merry	0.994477
rabid	0.99445
clamp	0.99445
hunch	0.99445
testy	0.994424
showy	0.99441
fussy	0.994397
glaze	0.994263
swoop	0.994141
junta	0.994072
droll	0.994004
shone	0.993976
shred	0.993962
libel	0.993948
lithe	0.993934
demon	0.993934
salvo	0.993921
hilly	0.993893
opium	0.993879
allay	0.993879
cumin	0.993865
misty	0.993823
penal	0.993795
canoe	0.993781
papal	0.993753
cocoa	0.993753
quilt	0.993739
tonic	0.99371
bogey	0.993639
baggy	0.993511
afoot	0.993482
fifty	0.993482
adage	0.993468
ardor	0.993449
apron	0.993366
terra	0.993308
geese	0.993308
chore	0.993249
crass	0.993235
flaky	0.993072
beset	0.993013
pearl	0.992953
quake	0.992923
idiom	0.99271
coupe	0.992664
tweed	0.992603
khaki	0.992587
gruff	0.992463
grove	0.992401
spawn	0.992369
rebut	0.992353
corny	0.992306
yeast	0.992227
sauna	0.992211
skier	0.992116
algae	0.992083
dogma	0.991938
valor	0.991912
yearn	0.991857
wager	0.991857
vomit	0.991857
saute	0.991742
optic	0.991709
scuba	0.991693
tenet	0.991693
sever	0.99166
pious	0.991627
pesky	0.991627
thyme	0.991594
clone	0.99156
paean	0.991494
ensue	0.991494
leaky	0.99124
tonal	0.991189
reuse	0.991069
caste	0.99086
equip	0.990807
campy	0.99079
alpha	0.990755
fling	0.990702
gauzy	0.990684
strut	0.990666
banjo	0.990613
grail	0.990595
viola	0.990559
seedy	0.990541
adorn	0.990524
macro	0.99047
slung	0.990452
swoon	0.990452
scour	0.990398
elude	0.990398
gaffe	0.990361
icing	0.990343
lurch	0.990252
creed	0.990216
vista	0.990161
melee	0.990161
sassy	0.990124
heist	0.990087
hairy	0.990087
slant	0.990069
chick	0.989976
lingo	0.989958
cocky	0.989864
evict	0.989845
antic	0.989827
stink	0.989827
jolly	0.989808
biker	0.989714
taunt	0.989714
taint	0.9896
haste	0.989562
flirt	0.989485
repel	0.98935
amiss	0.98935
diver	0.989234
china	0.989214
perky	0.989214
caper	0.989194
resin	0.989136
irate	0.989037
husky	0.988958
stalk	0.988938
ledge	0.988918
dingy	0.988918
bunny	0.988918
privy	0.988858
queue	0.988858
pinot	0.988798
wring	0.988758
felon	0.988738
deity	0.988637
baron	0.988617
pesto	0.988617
credo	0.988536
broom	0.988454
poppy	0.988433
morph	0.988268
drier	0.988248
tacky	0.988227
plume	0.988123
foggy	0.988102
remix	0.988081
posse	0.988039
fauna	0.988018
gutsy	0.987976
birch	0.987934
picky	0.987785
hoard	0.98757
pithy	0.987505
inert	0.987484
rerun	0.987331
latte	0.987309
bathe	0.987287
karma	0.987265
grimy	0.987199
kiosk	0.987177
vapor	0.987132
kayak	0.987043
frost	0.987021
lefty	0.987021
loner	0.986976
roomy	0.986932
balmy	0.986909
pique	0.986887
scalp	0.986819
bawdy	0.98666
truer	0.986592
glean	0.986385
dicey	0.986199
quail	0.986199
alias	0.986152
manly	0.986034
cyber	0.985916
annoy	0.985868
valet	0.985797
whine	0.985797
woken	0.985677
edict	0.98558
mixer	0.985531
speck	0.985531
tinge	0.985507
mafia	0.985459
cabal	0.98541
brood	0.98541
piety	0.985385
tempt	0.985336
musty	0.985213
crepe	0.985089
infer	0.98499
kneel	0.984839
tulle	0.984713
graze	0.984662
gooey	0.984662
noose	0.984636
troll	0.984636
maxim	0.984636
fudge	0.984534
lapel	0.984483
berry	0.984457
spurt	0.984431
milky	0.984354
aural	0.98425
fixer	0.98425
trite	0.984224
amply	0.984224
loopy	0.984198
clove	0.984172
wince	0.98412
snail	0.984068
matte	0.983962
moose	0.983936
venom	0.983936
boozy	0.983936
fluff	0.983936
thorn	0.983856
domed	0.983856
jerky	0.983803
palsy	0.98375
mushy	0.983535
crook	0.983481
crate	0.983427
amuse	0.9834
saucy	0.9834
snare	0.983346
spear	0.983264
rodeo	0.983237
drawl	0.983209
slush	0.983209
champ	0.983044
manor	0.983016
marsh	0.982989
filet	0.982821
mover	0.982794
madly	0.982794
medic	0.982794
artsy	0.982766
smirk	0.982766
horde	0.982737
nadir	0.982709
hound	0.982625
covet	0.982568
gleam	0.982568
derby	0.982568
abuzz	0.982568
latex	0.98254
ozone	0.982369
latch	0.982341
gaunt	0.982283
whirl	0.981877
comfy	0.981877
wispy	0.981789
gavel	0.98176
bingo	0.981701
jaunt	0.981642
bebop	0.981523
modem	0.981433
frown	0.981373
hijab	0.981283
melon	0.981162
hoist	0.980796
timer	0.980548
guild	0.980548
totem	0.980423
peppy	0.980423
riven	0.980265
mommy	0.980107
surly	0.980011
flout	0.980011
pecan	0.979947
elegy	0.979915
snuff	0.979883
rinse	0.979851
prowl	0.979851
twang	0.979851
bushy	0.979819
rouse	0.979689
outdo	0.979624
grist	0.979592
geeky	0.979428
grime	0.979363
stomp	0.979363
grate	0.979297
beefy	0.979297
kooky	0.979197
exude	0.979131
recur	0.978998
pagan	0.978964
stony	0.978931
curvy	0.978931
tunic	0.97883
lumpy	0.978729
lusty	0.978695
embed	0.978661
bulge	0.978593
hokey	0.978593
franc	0.978559
dandy	0.978525
micro	0.97849
ennui	0.97849
anime	0.978456
groan	0.978456
ether	0.97825
anise	0.978146
pushy	0.978146
pouch	0.977902
passe	0.977796
prima	0.97769
forty	0.97769
polka	0.977655
bowel	0.977619
spade	0.977548
shawl	0.977548
oxide	0.977548
mince	0.977298
runny	0.977262
unmet	0.977226
idyll	0.977226
scoff	0.977189
glitz	0.977117
raspy	0.976825
woozy	0.976788
eater	0.976641
askew	0.97653
sling	0.976455
inane	0.976042
liter	0.975965
filth	0.975736
snarl	0.975659
livid	0.975544
waver	0.975505
salve	0.975466
chime	0.975466
cushy	0.975232
jumpy	0.975232
sneer	0.975154
scold	0.975075
grunt	0.974957
aioli	0.974877
roost	0.974758
froth	0.974718
taker	0.974638
thump	0.974638
clump	0.974557
gripe	0.974396
bison	0.974355
ramen	0.974315
samba	0.974152
filly	0.974152
growl	0.974029
briny	0.973947
gorge	0.973573
emoji	0.973489
drape	0.973237
blase	0.973194
locus	0.973152
coyly	0.973152
shank	0.973067
liken	0.973024
acrid	0.972981
itchy	0.972981
brine	0.97281
heave	0.97255
zesty	0.97255
shorn	0.972507
chard	0.972463
fungi	0.972376
vouch	0.971979
zebra	0.971935
pried	0.971756
jokey	0.971756
glint	0.971532
crimp	0.971396
sheik	0.971214
buggy	0.971031
levee	0.970754
trump	0.970707
quart	0.970707
vitro	0.970661
toxin	0.970521
kudos	0.970521
taper	0.970474
forte	0.970239
modus	0.970049
dusky	0.970001
stead	0.969906
maven	0.969858
gauze	0.96981
spasm	0.96981
teary	0.969714
lotus	0.969714
muggy	0.969521
cagey	0.969423
balky	0.969375
outre	0.969081
fizzy	0.968484
knell	0.968383
fishy	0.968282
comet	0.968028
epoch	0.967977
brook	0.967977
wonky	0.967926
dowdy	0.967926
apace	0.967669
bling	0.967617
frock	0.96741
crumb	0.967357
petri	0.967305
abate	0.9672
braid	0.966937
kinky	0.966884
chute	0.966831
atone	0.966725
guile	0.966725
slimy	0.966725
cynic	0.966671
belie	0.966349
delta	0.966241
segue	0.966132
tamer	0.96586
shyly	0.96586
expat	0.965805
rangy	0.965695
plumb	0.965695
ruble	0.965529
antsy	0.965529
buzzy	0.965529
kebab	0.965473
easel	0.965306
mower	0.965251
cadet	0.965139
fetid	0.965139
aegis	0.965026
beret	0.964913
woody	0.964913
spire	0.964857
slime	0.964743
prune	0.964743
crony	0.964743
gamer	0.964572
kinda	0.964572
tulip	0.964285
decry	0.96417
wrung	0.964054
bosom	0.964054
extol	0.963938
genie	0.963879
legit	0.963762
vicar	0.963704
matzo	0.963704
whiny	0.963704
piggy	0.963586
navel	0.963468
tipsy	0.96335
alibi	0.96329
spout	0.963231
scowl	0.962992
abort	0.962751
halve	0.962751
bossy	0.962751
conga	0.96269
adobe	0.96263
bigot	0.96263
shrub	0.96263
gland	0.962508
douse	0.962447
chafe	0.962447
rover	0.962386
poach	0.962325
belle	0.962264
girth	0.962017
moldy	0.962017
sonar	0.961645
hoary	0.961645
imbue	0.961582
blurb	0.961519
dopey	0.961457
scrim	0.961078
oomph	0.960758
tinny	0.960694
modal	0.96063
gumbo	0.960565
snide	0.960501
hiker	0.960501
axiom	0.960501
sieve	0.960436
decoy	0.960306
mulch	0.960306
saber	0.960282
parka	0.960176
lilac	0.960045
serum	0.959782
voila	0.959782
alloy	0.959782
manga	0.95965
inset	0.959251
zippy	0.959251
haiku	0.958778
moxie	0.958642
lymph	0.958574
ultra	0.958506
crypt	0.9583
dodgy	0.9583
gummy	0.9583
tween	0.958162
intro	0.958024
soapy	0.957885
stair	0.957815
hunky	0.957745
fugue	0.957675
ruddy	0.957394
nervy	0.957111
eject	0.957111
abhor	0.956897
lunge	0.956753
twine	0.956681
panda	0.956609
throb	0.956537
digit	0.95632
endow	0.956247
purer	0.955881
sleet	0.95566
soupy	0.95566
lupus	0.954988
reedy	0.954913
loony	0.954913
twirl	0.95461
halal	0.954533
sheaf	0.954457
weepy	0.954304
amino	0.95415
vapid	0.953996
tiara	0.953841
venal	0.953764
pudgy	0.953764
giver	0.95353
sixty	0.953451
patty	0.953373
comma	0.953294
pulpy	0.953215
mummy	0.953215
ditty	0.952978
amble	0.952819
robin	0.952739
blare	0.95266
fatwa	0.952177
tryst	0.952096
moron	0.952014
visor	0.951933
snuck	0.951933
quasi	0.951933
amaze	0.95177
gulag	0.951688
tripe	0.951276
sprig	0.951027
croon	0.95086
usurp	0.950776
hyper	0.950692
snout	0.950439
daffy	0.949929
beech	0.949757
gloat	0.949671
apnea	0.949585
tardy	0.949499
heath	0.949412
pinup	0.949412
ripen	0.949325
fecal	0.949238
kitty	0.949238
swank	0.949151
inlet	0.949064
saver	0.948801
cramp	0.948625
mauve	0.948448
petit	0.948359
spook	0.948181
azure	0.948091
natty	0.948002
promo	0.948002
detox	0.947822
pager	0.947732
sinus	0.947732
thong	0.947642
cinch	0.947642
harem	0.947461
ratty	0.947279
odder	0.947096
flyer	0.946821
pixie	0.946821
chemo	0.946544
penne	0.946451
fusty	0.946265
affix	0.946265
gawky	0.946171
retry	0.946078
unwed	0.94589
teeny	0.945796
sappy	0.945796
sepia	0.945701
feign	0.945701
tuner	0.945512
conch	0.945417
ebony	0.945322
undid	0.945226
daisy	0.945131
skimp	0.945035
spiel	0.944939
tawny	0.944939
deuce	0.944939
folky	0.944842
bayou	0.944649
yummy	0.944649
ditto	0.944358
afire	0.944261
lifer	0.944163
spunk	0.944163
leggy	0.944163
tramp	0.944065
aglow	0.944065
stent	0.943967
augur	0.94377
ulcer	0.943473
lager	0.943074
uncut	0.943074
ladle	0.942974
pubic	0.942974
gonzo	0.942672
tarot	0.942571
skunk	0.94247
chuck	0.942368
sloth	0.942266
brawn	0.942164
gusty	0.942164
agape	0.941651
atlas	0.94134
argot	0.941236
posit	0.941236
rumba	0.941132
fryer	0.941132
talky	0.941027
snark	0.940922
ocher	0.940818
nomad	0.940818
taupe	0.940712
seamy	0.940712
turbo	0.940712
tummy	0.940607
login	0.940395
sooty	0.940395
mucus	0.940289
abode	0.939648
pixel	0.939432
bloop	0.939215
ashen	0.939107
girly	0.939107
agave	0.939107
maize	0.938998
cacao	0.938998
cabby	0.938998
bloat	0.938888
plunk	0.938779
renal	0.938339
dirge	0.938339
potty	0.938228
riser	0.938117
chimp	0.938006
snort	0.937783
gizmo	0.937671
flask	0.937559
weedy	0.937559
mossy	0.937447
doozy	0.937447
foamy	0.937334
aerie	0.937221
nobly	0.937221
randy	0.937108
madam	0.936995
vowel	0.936881
femur	0.936424
mason	0.936309
shirk	0.936194
mirth	0.935731
mambo	0.935731
whoop	0.935731
mezzo	0.935615
duvet	0.935498
surer	0.935264
wimpy	0.935029
wafer	0.934911
futon	0.934674
flake	0.934555
elfin	0.934555
parry	0.934436
floss	0.934436
grope	0.933837
rhino	0.933837
cower	0.933837
liven	0.933837
fiend	0.933837
umami	0.933837
wordy	0.933716
payer	0.933109
torte	0.933109
clasp	0.933109
thrum	0.932495
spurn	0.932372
chirp	0.932372
queso	0.932248
goody	0.932248
mocha	0.931373
smock	0.931373
munch	0.931246
doggy	0.931246
guava	0.93112
catty	0.930993
rupee	0.930612
frisk	0.930612
laity	0.930484
curio	0.930484
skein	0.930484
flail	0.930484
broil	0.930356
swish	0.930356
intel	0.930099
eking	0.930099
shear	0.92997
nymph	0.92997
drool	0.929581
sully	0.929581
sable	0.929451
shard	0.929451
pasty	0.929451
hooky	0.929321
buxom	0.929321
ninja	0.929321
redux	0.929059
chump	0.929059
opine	0.928796
epoxy	0.928796
musky	0.928796
adieu	0.928664
hater	0.928001
strep	0.928001
wharf	0.928001
acorn	0.927867
begat	0.927733
cleft	0.927465
skiff	0.92733
tizzy	0.927195
pooch	0.92706
divvy	0.92706
heron	0.926788
dowry	0.926515
punky	0.926515
hammy	0.926515
chide	0.926241
jammy	0.926241
preen	0.926104
scoot	0.925966
beget	0.925966
truss	0.925828
petal	0.92569
leach	0.92569
blimp	0.92569
knoll	0.92569
paddy	0.92569
hazel	0.925412
abbey	0.925273
trill	0.925133
gouge	0.925133
scaly	0.924993
dorky	0.924993
blurt	0.924713
ritzy	0.924713
triad	0.924572
clang	0.924572
cobra	0.924431
holly	0.924431
peter	0.92429
gamma	0.92429
sumac	0.924006
snoop	0.924006
fella	0.923864
putty	0.923864
shalt	0.923721
creak	0.923721
spiny	0.923721
helix	0.923721
offal	0.923721
butch	0.923578
yucca	0.923578
horny	0.923292
psych	0.923148
feint	0.92286
slink	0.92286
gourd	0.92286
redid	0.92286
